Timestamp,Username,Bits,Message,SpinTriggered
2025-05-14T17:30:00.408Z,"agt_washington_",100,"Cheer100 give me that sweet sweet wheel asmr",NO
2025-05-14T17:32:41.929Z,"swordsmenjay",100,"cheer100 thank you for having me on today dm- I promise to read of every punishment you receive- no matter how bad it is",NO2025-05-14T17:33:48.505Z,"agt_washington_",100,"Cheer100 Hey Jowol; can you set me up on a date with that thing you keep in a cage? I think we have a lot in common",NO
2025-05-14T17:36:25.644Z,"azuretoan",100,"Cheer100 Ahh! After 10;000 years; I’m free! It’s time to conquer Earth",NO
2025-05-14T17:42:50.599Z,"agt_washington_",100,"Cheer100 truely you live in an divine comedy",NO
2025-05-14T17:47:07.648Z,"azuretoan",100,"Cheer100 it’s a good thing he’s not in chat right now. unless?",NO
2025-05-14T17:49:10.543Z,"duels53",1000,"Cheer1000 I would like to buy a spinny spin",YES
2025-05-14T17:49:24.429Z,"iiidarkcloudiii",1000,"Cheer1000 spin please",YES
2025-05-14T17:54:51.181Z,"sephim",1000,"Cheer1000 we spin da wheel!",YES
2025-05-14T18:00:36.659Z,"syralan",1000,"Cheer1000 I would like to spin the rotating pie",YES
2025-05-14T18:03:31.483Z,"azuretoan",1000,"Cheer1000 the wheel rotates? Revolve on please",YES
2025-05-14T18:25:33.716Z,"usernamenotfounderr",1000,"Cheer1000 SPIN TO WIN!",YES
2025-05-14T18:29:23.895Z,"markovelliotv",1000,"thancred; the one true weakness. also pop a spin in that queue for me plz and thank you Cheer1000",YES
2025-05-14T18:36:58.861Z,"usernamenotfounderr",1000,"Cheer1000 Another spin for a classic Lies of P death",YES
2025-05-14T18:42:46.405Z,"iiidarkcloudiii",1000,"Cheer1000 one spin please",YES
2025-05-14T18:43:13.173Z,"ancient_nephilim",1000,"Cheer1000  can i have one spinny winny please uwu. sorry for typing it like that.",YES
2025-05-14T18:45:52.803Z,"swordsmenjay",1000,"cheer1000 One Extra Stinky Wheel Spin please!",YES
2025-05-14T18:51:40.694Z,"swordsmenjay",100,"cheer100 Wow chat; it’s a good thing dm has her headphones off so she can’t hear the TTS; that catto is so stinky; she didn’t install a shower in her castle",NO
2025-05-14T18:56:30.719Z,"screwmedomedo",2500,"Cheer2500 I hear the best way to improve is to do things over and over again ((Delete save please))",YES
2025-05-14T19:04:08.616Z,"markovelliotv",1000,"Cheer1000 lets fix that shall we; a spin for new beginnings!",YES
2025-05-14T19:04:25.748Z,"iiidarkcloudiii",1000,"Cheer1000 spin to win",YES
2025-05-14T19:07:13.425Z,"swordsmenjay",100,"cheer100 this is lies of Pain- not lies of relief dm",NO
2025-05-14T19:15:42.908Z,"swordsmenjay",1000,"cheer1000 Okay; this spin is for all the marbles chat- Omega stink!",YES
2025-05-14T19:22:57.473Z,"dedale41",1000,"Cheer1000 Jeff kept refusing my money so I'm late. One spin to go please girldmOwo",YES
2025-05-14T19:28:32.226Z,"markovelliotv",1000,"im having a grand old time. gimme another rotation of the circle Cheer1000",YES
2025-05-14T19:46:12.197Z,"ancient_nephilim",1000,"Cheer1000  To be fair; this is is more self flagellate than torture seeing as you are doing this to youself. also one spin please and thank you",YES
2025-05-14T19:46:17.155Z,"markovelliotv",1000,"Cheer1000 why talk to therapists when you can just speen",YES
2025-05-14T19:49:39.141Z,"neo_cortosis",1000,"ok how about I add to that pot o monies girldmOwo  rotate that circle please aether131Smile  Cheer1000",YES
